source,target,Weight
关上(民航路),官渡广场(国贸路),1
关上(民航路),官渡广场(民航路),2
关兴路中段,关兴路口(民航路),1
关兴路口(民航路),五里多村,3
关兴路口(民航路),官渡广场(民航路),7
关南路口(日新路),关平路口(日新路),5
关南路口(日新路),宝海路口(日新路),3
关山环路(云大西一门),关山环路(云大西二门),1
关山环路(云大西二门),梁王路口(万青路),1
关平路口(日新路),关上(日新路),2
关平路口(日新路),关南路口(日新路),3
关平路口(日新路),关景路,3
关景路,关上(日新路),1
关景路,关上(民航路),3
关景路,关景路口(雨龙路),4
关景路,巫家坝车场,1
关景路口(雨龙路),关景路,2
关景路口(雨龙路),和甸营村,8
关景路口(雨龙路),巫家坝车场,3
关通路口(雨龙路),巫家坝车场,1
关通路口(雨龙路),雨龙路,1
关锁中心学校,螺蛳湾公交枢纽站(彩云北路),1
兴体路北段,兴体路口(红塔东路),2
兴体路北段,滇池路口(红塔东路),2
兴体路口(红塔东路),滇池卫城(红塔东路),2
兴体路口(红塔东路),滇池路口(红塔东路),2
兴呈路口,北门街口(兴呈路),6
兴呈路口,呈贡,4
兴呈路口,呈贡广场,1
兴呈路口(鲜花大道),斗南路口,1
兴园路口(云南白药街),雨花公交枢纽站(彩云南路),1
兴苑路,张家村,1
兴苑路,张家村(昌源南路),1
兴苑路,梁源三区,1
兴苑路,秋苑小区(兴苑路),2
兴苑路,西山区政府(秀苑路),1
兴苑路口,海源南路口,1
兴苑路口,西苑立交桥,1
兴苑路口(海源南路),海源南路北,1
兴隆村,昆阳磷肥厂,1
典赤路,海口车场,1
典赤路口,典赤路,1
农业大学,实力郡城(小康大道),1
农业大学,小康大道路口(沣源路),2
农业大学校医院,综合楼,1
农业大学蜂学楼,农业大学校医院,1
农贸市场,大河果园,1
冶炼厂,王家桥(王家桥路),1
冶炼厂,王家桥路,1
冶金学校,理工大学北门(学府路),3
冶金学校,阳光果香小区(学府路),5
凉亭(东三环),盛惠园小区,1
凉亭(东三环),金瓦路口(东三环),1
凉亭(金马路),凉亭中路,1
凉亭(金马路),凉亭村,2
凉亭(金马路),彩云北路口(归十西路),1
凉亭(金马路),黑土凹(金马路),3
凉亭中路,公交东部修理公司,1
凉亭中路,凉亭(金马路),1
凉亭中路,凉亭中路南段,1
凉亭中路南段,彩云北路口(凉亭中路),1
凉亭村,凉亭(金马路),2
凉亭村,金马路中段,2
凌波小区,博创,1
凌源路口(拓翔路),大冲村(拓翔路),5
凌源路口(拓翔路),拓翔路中段,2
凤凰新村,北京路口(白云路),1
凤凰新村,火车北站(北京路),1
凤凰新村,白云路口(北京路),4
凤凰村,交三桥(人民东路),1
凤凰村,穿心鼓楼(北京路),5
凤庆路口(双羊街),金瓦路口(东三环),1
刘家营(三铝公路),段家营,1
刘家营(安康路),安康路,1
刘家营(安康路),安康路口,2
刘家营(立夏路),刘家营新区,1
刘家营新区,船房小区,1
前兴路公交枢纽站,商汇路,1
前兴路公交枢纽站,大庄村(前兴路),2
前兴路公交枢纽站,拥金路口(河宏路),2
前兴路公交枢纽站,滇池会展中心(环湖东路),1
前兴路口(前旺路),前福路口(前旺路),1
前兴路口(广福路),华晨路口(广福路),3
前兴路口(广福路),昆明同仁医院(广福路),5
前兴路口(广福路),湖畔之梦小区,4
前兴路口(日新东路),佳湖花园(日新东路),2
前兴路口(日新东路),前卫西路口(日新中路),2
前兴路口(绿荫大道),绿荫大道路口,3
前兴路口(绿荫大道),绿荫大道路口(希望路),1
前卫营(前兴路),前兴路公交枢纽站,3
前卫营(前兴路),前兴路口(日新东路),2
前卫营(前兴路),前卫西路口(日新中路),1
前卫营(前兴路),大庄村(前兴路),3
前卫营村(致远路),云南白药街,1
前卫营村(致远路),雨花公交枢纽站,1
前卫西路口(前旺路),河宏路口(前卫西路),1
前卫西路口(日新中路),佳湖花园(日新东路),1
前卫西路口(日新中路),前兴路口(日新东路),1
前卫西路口(日新中路),前旺路口(前福路),1
前卫西路口(日新中路),南苑,1
前卫西路口(日新中路),邬小村(日新中路),2
前卫西路口(河宏路),世纪半岛小区(河宏路),1
前卫西路口(河宏路),前福路口(河宏路),2
前卫西路口(马洒营),孙家地,1
前旺路,前卫营(前兴路),1
前旺路,理想小镇小区(希望路),2
前旺路口(前福路),前福路口(河宏路),1
前旺路口(前福路),拥金路口(河宏路),1
前福路口(前旺路),前卫西路口(前旺路),1
前福路口(前旺路),宋旗小区(前旺路),1
前福路口(河宏路),前卫西路口(河宏路),1
前福路口(河宏路),拥金路口(河宏路),2
前程路,前兴路公交枢纽站,1
前程路口(希望路),理想小镇小区(希望路),1
前程路口(望江路),希望路口(前程路),1
加州枫景小区,平桥村,2
加州枫景小区,平桥村(广福路),2
加州枫景小区,昆明市地方海事局(西三环),1
加州枫景小区,马家堆,1
化古城村(尚德街),化古城村南,2
化古城村(尚德街),高新大道路口(生物谷街),1
化古城村南,化城南口,2
化城北口,化古城村(尚德街),1
化城北口,化城南口,3
化城北口,贝丘街口(高新大道),1
化城南口,化城北口,3
化城南口,塔山路口(生物谷街),1
化城南口,尚德街口(生物谷街),1
化城社区,贝丘街口(高新大道),1
化城社区,魁星街口(塔山路),1
北三环路口(红锦路),龙江路口(红锦路),1
北京路口,龙头街,1
北京路口(北辰大道),北辰小区(北辰大道),1
北京路口(北辰大道),江东花园北路口(北京路),1
北京路口(北辰大道),温馨家园(金色大道),2
北京路口(司家营街),司家营街,1
北京路口(沣源路),幸福家园小区,2
北京路口(沣源路),龙头街,4
北京路口(环城南路),吴井桥(环城南路),3
北京路口(环城南路),和平新村,1
北京路口(环城南路),昆明站(永平路),1
北京路口(环城南路),春城路,2
北京路口(白云路),志强路口(白云路),2
北京路口(白云路),颐园小区(白云路),3
北京路口(联盟路),张官营,1
北京路口环城南路,吴井桥(环城南路),1
北仓村,华龙人家小区,1
北仓村,红园路口(小康大道),5
北仓村,金水湾小区(小康大道),4
北市区车场,沙坝营(霖雨路),2
北市区车场(霖雨路),霖雨路,1
北教场立交桥,泰龙阁小区车场,1
北辰中路,江东商业街,3
北辰大道路口(北京路),江东花园北路口(北京路),6
北辰大道路口(北京路),金星立交桥,1
北辰大道路口(穿金路),园博路,2
北辰大道路口(穿金路),昆十一中,1
北辰大道路口(穿金路),波罗村,5
北辰小区(北辰中路),北辰中路,3
北辰小区(北辰大道),云波新村,1
北辰小区(北辰大道),北京路口(北辰大道),3
北部公交枢纽站,世博园,1
北部公交枢纽站(沣源路),沣源路中段,1
北部公交枢纽站(沣源路),龙头街,1
北部汽车客运站,北部公交枢纽站,3
北门街口(兴呈路),兴呈路口,4
北门街口(兴呈路),斗南(金桂街),1
北门街口(兴呈路),斗南路口(兴呈路),5
医科大学北门,医科大学学术交流中心,1
医科大学北门,聚贤街西段,1
医科大学北门,雨花路(医科大学),1
医科大学学术交流中心,医科大学西苑广场,1
医科大学西苑广场,中医药大学紫竹苑,1
十八培训站,招呼站,1
千亩梨园路口,团结镇政府,1
半岛车场,环湖东路口(珥季路),2
半岛车场,龙马村(云秀路),3
半路街,红水塘,1
华光路口(博欣路),博欣路口(渔翔路),1
华光路口(博欣路),博欣路西口,1
华城花园,塔密地铁站,1
华夏中专(近华浦路),春苑小区,7
华夏中专(近华浦路),白马,1
华夏中专(近华浦路),秋苑小区(兴苑路),1
华夏中专(近华浦路),秋苑小区(昆州路),1
华山东路口(螺峰街),螺峰街,3
华昌路口(环城南路),严家地(西园路),1
华昌路口(环城南路),双龙桥,2
华昌路口(环城南路),昆明冠生园,3
华昌路口(环城南路),昆明冠生园(严家地),2
华昌路口(环城南路),滇池路口(环城西路),3
华春苑,师大金源学校,1
华晨路口(广福路),前兴路口(广福路),3
华晨路口(广福路),双凤路口(广福路),2
华晨路口(广福路),官南路口(广福路),1
华晨路口(广福路),广福路口(前兴路),2
华晨路口(广福路),广福路口(官南大道),1
华晨路口(广福路),昆明同仁医院(广福路),1
华苑路,德缘小区(兴苑路),1
华苑路,眠山车场,1
华苑路,西北部公交枢纽站,1
华苑路口,沙地村,1
华苑路口(昆州路),张家村(昆州路),2
华苑路口(昆州路),沙地村,1
华苑路口(昆州路),西部客运站(昆州路),1
华都小区(华晨路),逸华路口(华晨路),1
华龙人家小区,红云小区,1
华龙人家小区,红锦路口(红云路),2
南坝(望江路),望江路口(绿荫大道),1
南坝路,双龙商场,1
南坝路,巡津街,3
南坝路,市委花园,1
南坝路,永平路口(南坝路),3
南太桥(东风东路),东风广场(北京路),1
