出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
西华园(西福路),马家堆,102.68207,25.021454,102.677739,25.01635
马家堆,加州枫景小区,102.677739,25.01635,102.672205,25.010842
加州枫景小区,平桥村(广福路),102.672205,25.010842,102.671411,25.007331
平桥村(广福路),广福路口(滇池路),102.671411,25.007331,102.672183,25.002726
迎海路,怡景路,102.655369,24.983828,102.656769,24.979033
怡景路,红塔西路口(怡景路),102.656769,24.979033,102.658348,24.975155
红塔西路口(怡景路),海埂长堤,102.658348,24.975155,102.652596,24.973324
昆五中,新闻路口(西园路),102.680803,25.031775,102.682556,25.031775
新闻路口(西园路),东陆桥(西华北路),102.682556,25.031775,102.684861,25.030547
永乐路口(西坝路),弥勒寺(西昌路),102.695007,25.031315,102.700747,25.031367
工人新村(西昌路),双龙桥,102.704414,25.027865,102.71105,25.02329
双龙桥,北京路口(环城南路),102.71105,25.02329,102.721845,25.024201
昆明会展中心(国贸路),国贸路口(宝海路),102.73411,25.009301,102.735955,25.008507
国贸路口(宝海路),关南路口(日新路),102.735955,25.008507,102.739822,25.004227
关平路口(日新路),关上(日新路),102.743683,25.004845,102.748207,25.008446
气象路口(环城西路),西坝,102.697701,25.025555,102.691597,25.031567
西华北路,卢家营,102.687795,25.030686,102.681641,25.030725
卢家营,大观路口(近华浦路),102.681641,25.030725,102.678424,25.031732
华夏中专(近华浦路),秋苑小区(兴苑路),102.674293,25.038294,102.666806,25.039227
兴苑路,张家村(昌源南路),102.660172,25.039644,102.655296,25.040733
张家村(昌源南路),张家村(昆州路),102.655296,25.040733,102.651108,25.043159
张家村(昆州路),上锦路,102.651108,25.043159,102.645638,25.044809
上锦路,眠山车场,102.645638,25.044809,102.648018,25.046967
子君村(广福路),新亚洲体育城,102.777092,24.946484,102.763069,24.942682
广福路口(双凤路),向化村(双凤路),102.725983,24.978365,102.729149,24.98234
向化村(双凤路),万德新村,102.729149,24.98234,102.731424,24.989878
万德新村,双凤路北口,102.731424,24.989878,102.732826,24.995869
双凤路北口,日新村中段,102.732826,24.995869,102.733131,24.998312
日新路口(福德路),银海森林小区(日新路),102.72905,25.00032,102.726051,25.001188
佳湖花园(日新东路),绿荫大道路口,102.713074,24.999268,102.709306,25.006202
洒金巷口(海埂路),豆腐营(云兴路),102.708789,25.008507,102.707287,25.017348
豆腐营(云兴路),永昌小区(华昌路),102.707287,25.017348,102.705074,25.017173
永昌小区(华昌路),永兴路口(华昌路),102.705074,25.017173,102.704918,25.019857
永兴路口(华昌路),华昌路口(环城南路),102.704918,25.019857,102.705826,25.022978
园西路口(北门街),莲花池正街,102.70362,25.05546,102.702322,25.057522
莲花池正街,莲花池公园西门,102.702322,25.057522,102.7001,25.060117
莲花池公园西门,教场西路口,102.7001,25.060117,102.697504,25.066389
教场中路,教场中路口(教场北路),102.696888,25.070503,102.695707,25.072405
教场中路口(教场北路),教场北路西段,102.695707,25.072405,102.693559,25.073754
教场北路西段,泰龙阁小区车场,102.693559,25.073754,102.694046,25.078708
信息产业基地车场,石龙路口(秋锦路),102.845972,24.935781,102.843702,24.934297
石龙路口(秋锦路),经开区管委会(春漫大道),102.843702,24.934297,102.841115,24.946536
经开区管委会(春漫大道),云湾路口(春漫大道),102.841115,24.946536,102.837878,24.947214
云湾路口(春漫大道),红枫路口(林溪路),102.837878,24.947214,102.833932,24.945655
红枫路口(林溪路),大冲村(林溪路),102.833932,24.945655,102.831654,24.942912
大冲村(林溪路),晨光路口(拓翔路),102.831654,24.942912,102.826059,24.942943
晨光路口(拓翔路),云霞路口(拓翔路),102.826059,24.942943,102.827127,24.948225
云霞路口(拓翔路),春漫大道路口(拓翔路),102.827127,24.948225,102.831628,24.952405
春漫大道路口(拓翔路),云景路口(拓翔路),102.831628,24.952405,102.834132,24.959388
云景路口(拓翔路),拓翔路中段,102.834132,24.959388,102.83419,24.96155
拓翔路中段,凌源路口(拓翔路),102.83419,24.96155,102.834587,24.966963
凌源路口(拓翔路),大冲村(拓翔路),102.834587,24.966963,102.833568,24.976471
大冲村(拓翔路),公家村(昆石公路),102.833568,24.976471,102.827192,24.983668
